2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.60E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.60E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.70E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
1.50E+01,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
3.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
2.00E+00,1
